bucket,count,fraction
0,7336,0.000122753687831
1,32414,0.000542385228648
2-3,236240,0.0039530167957
4-7,1480575,0.0247745421702
8-15,5086540,0.0851133510498
16-31,7755232,0.129768719737
32-63,8001482,0.133889234408
64-127,21558454,0.360738785775
128-255,10548763,0.176513026214
256-511,3109580,0.0520327716203
512-1023,1160804,0.0194237965989
1024-2047,458020,0.0076640736233
2048-4095,190099,0.0031809369279
4096-8191,80516,0.00134727861633
8192-16383,33255,0.000556457727485
16384-32767,13867,0.000232037266788
32768-65535,5309,8.88357863545e-05
65536-131071,2024,3.38677023133e-05
131072-262143,986,1.64987917396e-05
262144-524287,276,4.61832304273e-06
524288-1048575,96,1.60637323225e-06
1048576-2097151,60,1.00398327016e-06
2097152-4194303,12,2.00796654032e-07
4194304-4412760,12,2.00796654032e-07
